Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
New Orleans,44.5,54.2,32.2,29.5,19.5,17.5,30.9,37.2,70.7,44.2,56.3,30.1,34.4,8,12.2,53.3,59.3,35.3,43.3,70.6,67,72.4
Idaho St.,43.5,49.5,36.1,36.1,18.9,16.5,39.4,23.7,67.4,45,48.6,27.4,34.1,14.9,13.1,51.7,59.2,39.7,37.7,66.2,74.6,76.3
Columbia,57.5,50.2,34.8,26.3,17.6,18.7,31.9,28.7,69.6,57.7,48.9,38.2,34.8,5.5,8.2,66.1,62.8,41,39,70.2,72.2,68.3
IU Indy,49.6,57.2,33.8,35.9,18.2,15.8,26.5,27.5,66.9,46.7,56.7,35,38.6,5,12.6,49.6,57.2,50.9,42.2,66.3,81.2,75.3
Western Carolina,43.8,54,20.2,32,24.5,17.2,28.5,26.9,74.1,47.6,55.6,26.6,34.5,7,13,47.3,58.1,49.8,42,73.5,64.6,73.2
Eastern Kentucky,49,53.8,21.6,37.2,16.3,21,33.1,35,68.9,48.5,55.8,33.1,33.5,9.8,11.1,49.6,48.1,43.7,35.8,69.4,68.5,69.3
Penn,44.3,51.8,35.6,24.5,17.5,15.5,30.6,35.5,64.6,46.8,47.6,27.5,39.4,4,10.1,54.5,55.3,44.9,37,65.7,65.8,75.3
South Carolina St.,47.6,51.9,38.4,48.9,18.6,22.1,32.4,33.5,70.1,48.9,56.6,30,30.2,10.5,10.3,56.4,60.3,32.2,41.4,68.8,66,69.6
Idaho,51.5,54.3,31.2,39.2,21.1,16.1,29.8,35.7,67.8,49.2,54.7,36.3,35.7,6.7,15.2,48.8,52.5,45.3,38.5,66.7,67.1,69.7
Stony Brook,45,58.4,31,27.9,19.2,16.3,29.6,33.1,66.2,44.8,62.1,30.2,35.4,4.7,8.6,50.9,60.3,39.9,40.9,67.8,73.7,64.2
Evansville,47.5,53.5,29.8,37.7,17.8,18.1,21.3,31,68.4,52.2,54,28.1,35.2,13.9,6.1,56.3,47.7,47,42.1,68.4,69.5,77.7
Saint Peter's,46.9,46.3,36.8,50.6,20.2,17.1,37.9,35.5,64.9,42.7,48,35.1,28.7,11.1,14.2,44.6,49.7,42,35,64.2,67.3,71
Virginia,51.4,46.4,26.6,22.9,19.8,16.1,24.5,28.6,61.5,47.6,45.6,37.6,31.6,14,8.8,64.6,51,42.3,44,61.3,73.5,70.7
UCF,48.8,48.9,40,28.2,16.3,19.8,35.1,32.5,71,48.8,47.2,32.5,34.3,12.6,7.6,58.6,50.2,39.2,40,70.7,76.1,70.9
Drexel,53,47.4,24.3,26.2,18.7,13.1,33.5,26.1,66.1,54.1,49.9,34.1,28.8,10.3,7,51,50.5,38.8,36.5,65.3,72.7,71.5
